2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:48:49, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
2017-10-20 09:49:04, C:\xampp\htdocs\php\friday\errors.php @ line: 18, Undefined variable: a
